name,short_name,market_name,indications,moa,curr_company,curr_company_full_name,prev_company,prev_company_full_name,mutations/specifics of indications,treatment_category
Atezolizumab,,Tecentriq,"NSCLC, SCLC, HCC",PD-L1,Greentech,Greentech,,,"NSCLC, SCLC, HCC",Solid Tumors
felzartamab,,,,CD38 antagonist,Biogen,Biogen,,,,Solid Tumors
izastobart,,,,C5aR1 antagonist,Biogen,Biogen,,,,Solid Tumors
GRI-0803,,,,Type 2 NKT agonist,GRI Bio ,GRI Bio ,,,,Solid Tumors
IMG-007,,,,OX40 antagonist,Inmagene,Inmagene Biopharmaceuticals ,,,,Solid Tumors
SOR102,,,,"TNF⍺ antagonist, IL-23p19 antagonist",Sorriso,Sorriso Pharmaceuticals ,,,,Solid Tumors
Isatuximab,,Sarclisa (艾沙妥昔单抗),MM,CD38,Sanofi,Sanofi S.A.,,,MM,Heme Onc
Ivonescimab,,依达方,,VEGFxPD-1 bsAb,Akeso (康方),Akeso (康方),,,,Solid Tumors
Fluzoparib,,艾瑞颐,OC,PARP,Hengrui (恒瑞),Jiangsu Hengrui (恒瑞医药),,,OC,Solid Tumors
Mefatinib,,,,EGFR/HER2 TKI,Huadong (华东),Huadong Medicine (华东医药),,,,Solid Tumors
Tagitanlimab,,,,Anti-B7-H3 mAb,Kelun-Biotech (科伦博泰),Kelun-Biotech (科伦博泰),,,,Solid Tumors
Repotrectinib,,奥凯乐,,ROS1/TRK TKI,Zai Lab (再鼎),Zai Lab (再鼎),,,,Solid Tumors
Benmelstobart,,,,PD-1/PD-L1,Sinobiopharm (中国生物),Sino BioPharmaceutical Limited  (中国生物),,,,Solid Tumors
Glecirasib,,,,KRAS G12C inhibitor,Jacobio,Jacobio Pharma,,,,Solid Tumors
BPI-16350 ,,康美纳,HR-positive and HER2-negative advanced breast cancer in combination with Fulvestrant,CDK4/6 inhibitor,Betta,Betta Pharmaceuticals,,,HR-positive and HER2-negative advanced breast cancer in combination with Fulvestrant,Solid Tumors
uproleselan,,,,E-selectin antagonist,GlycoMimetics,GlycoMimetics,,,,Solid Tumors
Belrestotug,,,,TIGIT mAbs,iTeos,iTeos Therapeutics,,,,Solid Tumors
Dostarlimab-gxly,,Jermperli,dMMR EC,PD-1/PD-L1,GSK,GSK,,,dMMR EC,Solid Tumors
ERAS-0015,,,,RAS inhibitor,Erasca,Erasca,,,,Solid Tumors
ERAS-4001,,,,KRAS inhibitor,Erasca,Erasca,,,,Solid Tumors
Camrelizumab,,AiRuiKa,"HCC, HL, ESCC, NPC, NSCLC",PD-1/PD-L1,Hengrui (恒瑞),Jiangsu Hengrui (恒瑞医药),,,"HCC, HL, ESCC, NPC, NSCLC",Solid Tumors
Rivoceranib,,Aitan,HCC ,VEGFR-2 inhibitor,Hengrui (恒瑞),Jiangsu Hengrui (恒瑞医药),,,HCC ,Solid Tumors
NVL-655,,,NSCLC,ROS1 inhibitor,Nuvalent,Nuvalent,,,NSCLC,Solid Tumors
Zanidatamab,,,,HER2 BsAbs,Jazz,Jazz Pharmaceuticals,,,,Solid Tumors
Zanidatamab,,,,HER2 BsAbs,BeiGene,BeiGene,,,,Solid Tumors
Vibostolimab,,,,TIGIT mAbs,Merck,Merck,,,,Solid Tumors
Opnurasib,JDQ-443,,,KRAS G12C inhibitor,Novartis,Novartis,,,,Solid Tumors
Dato-DXd,,,,TROP2 ADC,Daiichi,Daiichi Sankyo,,,,Solid Tumors
Dato-DXd,,,,TROP2 ADC,AZ,AstraZeneca,,,,Solid Tumors
