entity,type,entity_type,description/context,ask,for_tagging,for_graph,for_glossary,treatment_category,indications,short_name,market_name,moa,mutations/specifics of indications,drugs_involved,therapy1,therapy2,therapy3,NCT#
MAJIC,string,ClinicalTrial,"MAJIC is a  phase 3 prospective, multicenter, randomized trial comparing acalabrutinib(also known as: calquence,acala, cal) plus venetoclax(also known as: venclexta,ven) to venetoclax(also known as: venclexta,ven) plus obinutuzumab(also known as: gazyva,obin, obinu) in previously untreated chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)","identify whether the question has relevance with MAJIC or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL/SLL,,,,,"Acalabrutinib, Venetoclax, Obinutuzumab",Acalabrutinib + Venetoclax,Venetoclax + Obinutuzumab,,NCT05057494
FLAIR,string,ClinicalTrial,"FLAIR is a  phase 3 trial comparing ibrutinib(also known as: imbruvica,ibru, imb, ibr) plus rituximab to fludarabine, cyclophosphamide, and rituximab (FCR) in previously untreated chronic lymphocytic leukemia (CLL) patients","identify whether the question has relevance with FLAIR or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Ibrutinib, Rituximab, Fludarabine, Cyclophosphamide, Rituximab (FCR)",Ibrutinib + Rituximab,"Fludarabine + Cyclophosphamide, and Rituximab (FCR)",,NCT02938520
CAPTIVATE,string,ClinicalTrial,"CAPTIVATE is a  phase 2 trial evaluating the combination of ibrutinib(also known as: imbruvica,ibru, imb, ibr) and venetoclax(also known as: venclexta,ven) in patients with previously untreated chronic lymphocytic leukemia (CLL) and assessing minimal residual disease (MRD) status and/or small lymphocytic lymphoma (SLL).","identify whether the question has relevance with CAPTIVATE or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL/SLL,,,,,"Ibrutinib, Venetoclax",Ibrutinib + Venetoclax,,,NCT02910583
RESONATE,string,ClinicalTrial,"RESONATE is a  phase 3 trial comparing ibrutinib(also known as: imbruvica,ibru, imb, ibr) to ofatumumab in patients with relapsed or refractory chronic lymphocytic leukemia (CLL), demonstrating superior progression-free survival and overall survival for ibrutinib(also known as: imbruvica,ibru, imb, ibr)","identify whether the question has relevance with RESONATE or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Ibrutinib, Ofatumumab",Ibrutinib,Ofatumumab,,NCT01578707
SYMPATICO,string,ClinicalTrial,"SYMPATICO is a  phase 3 trial investigating the combination of ibrutinib(also known as: imbruvica,ibru, imb, ibr) and venetoclax(also known as: venclexta,ven) in patients with relapsed or refractory mantle cell lymphoma (MCL), showing improved progression-free survival compared to ibrutinib(also known as: imbruvica,ibru, imb, ibr) alone.","identify whether the question has relevance with SYMPATICO or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,MCL,,,,,"Ibrutinib, Venetoclax",Ibrutinib,Ibrutinib + Venetoclax,,NCT03112174
RATIONALE-315,string,ClinicalTrial,"RATIONALE-315 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with platinum-based doublet chemotherapy as neoadjuvant treatment for patients with non-small cell lung cancer","identify whether the question has relevance with RATIONALE-315 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,,NCT04379635
RATIONALE-312,string,ClinicalTrial,"RATIONALE-312 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) combined with platinum and etoposide versus placebo combined with platinum and etoposide in patients with extensive-stage small cell lung cancer","identify whether the question has relevance with RATIONALE-312 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ES-SCLC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab,Chemotherapy,,NCT04005716
RATIONALE-311,string,ClinicalTrial,"RATIONALE-311 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) versus placebo in combination with chemoradiotherapy in patients with localized esophageal squamous cell carcinoma","identify whether the question has relevance with RATIONALE-311 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ESCC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,,NCT03957590
RATIONALE-310,string,ClinicalTrial,RATIONALE-310 is a  phase 3 trial comparing tislelizumab and sorafenib in patients with locally advanced or metastatic urothelial carcinoma,"identify whether the question has relevance with RATIONALE-310 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,HCC,,,,,"Tislelizumab, Sorafenib",Tislelizumab,Sorafenib,,NCT03967977
RATIONALE-309,string,ClinicalTrial,"RATIONALE-309 is a  phase 3 clinical trial evaluating the efficacy and safety of tislelizumab(also known as: tevimbra,tisle, bgb-a317) combined with gemcitabine and cisplatin (Arm A) versus placebo combined with gemcitabine and cisplatin (Arm B) as a first-line treatment for patients with R/M NPC","identify whether the question has relevance with RATIONALE-309 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,R/M NPC,,,,,"Tislelizumab, Gemcitabine, Cisplatin ",Tislelizumab + Gemcitabine + Cisplatin ,,,NCT03924986
RATIONALE-307,string,ClinicalTrial,"RATIONALE-307 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with chemotherapy versus chemotherapy as first-line treatment for patients with advanced squamous non-small cell lung cancer","identify whether the question has relevance with RATIONALE-307 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,,NCT03594747
RATIONALE-306,string,ClinicalTrial,"RATIONALE-306 is a  global phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with chemotherapy in patients with previously untreated advanced or metastatic ESCC","identify whether the question has relevance with RATIONALE-306 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ESCC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,,NCT03783442
RATIONALE-305,string,ClinicalTrial,"RATIONALE-305 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) combined with chemotherapy versus placebo combined with chemotherapy as first_x0002_line treatment for patients with gastric cancer","identify whether the question has relevance with RATIONALE-305 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"GC,GEJC",,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,,NCT03777657
RATIONALE-304,string,ClinicalTrial,"RATIONALE-304 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with chemotherapy versus chemotherapy as first-line treatment for patients with advanced non-squamous non-small cell lung cancer ","identify whether the question has relevance with RATIONALE-304 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,,NCT03663205
RATIONALE-303,string,ClinicalTrial,"RATIONALE-303 is a  phase 3 trial comparing tislelizumab(also known as: tevimbra,tisle, bgb-a317) with docetaxel in the second- or third line setting in patients with nonsmall cell lung cancer","identify whether the question has relevance with RATIONALE-303 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC ,,,,,"Tislelizumab, Docetaxel",Tislelizumab,Docetaxel,,NCT03358875
RATIONALE-302,string,ClinicalTrial,"RATIONALE-302 is a  phase 3 trial comparing tislelizumab(also known as: tevimbra,tisle, bgb-a317) with chemotherapy as second-line treatment for patients with advanced ESCC","identify whether the question has relevance with RATIONALE-302 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ESCC,,,,,"Tislelizumab, Chemotherapy",Tislelizumab,Chemotherapy,,NCT03430843
RATIONALE-301,string,ClinicalTrial,"RATIONALE-301 is a  global phase 3 trial comparing tislelizumab(also known as: tevimbra,tisle, bgb-a317) with sorafenib as first-line treatment for patients with unresectable hepatocellular carcinoma","identify whether the question has relevance with RATIONALE-301 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,HCC,,,,,"Tislelizumab, Sorafenib",Tislelizumab + sorafenib,,,NCT03412773
RATIONALE-208,string,ClinicalTrial,"RATIONALE-208 is a  phase 2 trial studying the efficacy and safety of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in patients with in patients with advanced HCC with Child-Pugh A, Barcelona Clinic Liver Cancer stage B or C, and who had received one or more prior lines of systemic therapy","identify whether the question has relevance with RATIONALE-208 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"HCC, BCLC",,,,,Tislelizumab,Tislelizumab,,,NCT03419897
RATIONALE-209,string,ClinicalTrial,"RATIONALE-209 is a  phase 2 trial evaluating the efficacy and safety of tislelizumab(also known as: tevimbra,tisle, bgb-a317) monotherapy in patients with previously-treated, locally advanced unresectable or metastatic microsatellite instability-high/mismatch repair-deficient 
solid tumors","identify whether the question has relevance with RATIONALE-209 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,microsatellite instability-high/mismatch repair deficient solid tumors,,,,,Tislelizumab,Tislelizumab,,,NCT03736889
BGB-A317-314,string,ClinicalTrial,"BGB-A317-314 is a  phase 3 trial comparing tislelizumab(also known as: tevimbra,tisle, bgb-a317) to salvage chemotherapy in patients with relapsed or refractory classical Hodgkin Lymphoma","identify whether the question has relevance with BGB-A317-314 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,HL,,,,,Tislelizumab,Tislelizumab,,,NCT04486391
AdvanTIG-105,string,ClinicalTrial,"AdvanTIG-105 is a  phase 1/1b open-label study evaluating tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab in advanced, unresectable, or metastatic solid tumors","identify whether the question has relevance with AdvanTIG-105 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,Advanced Solid Tumors,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04047862
AdvanTIG-202,string,ClinicalTrial,"AdvanTIG-202 is a  phase 2 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab in metastatic cervical cancer","identify whether the question has relevance with AdvanTIG-202 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,MCC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04693234
AdvanTIG-203,string,ClinicalTrial,"AdvanTIG-203 is a  phase 2 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab in advanced esophageal squamous cell carcinoma","identify whether the question has relevance with AdvanTIG-203 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ESCC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04732494
AdvanTIG-204,string,ClinicalTrial,"AdvanTIG-204 is a  phase 2 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab with concurrent chemoradiotherapy in patients with untreated limited-stage small cell lung cancer","identify whether the question has relevance with AdvanTIG-204 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04952597
AdvanTIG-205,string,ClinicalTrial,"AdvanTIG-205 is a  phase 2 study designed to investigate the efficacy and safety of ociperlimab in combination with tislelizumab(also known as: tevimbra,tisle, bgb-a317) and chemotherapy vs tislelizumab(also known as: tevimbra,tisle, bgb-a317) and chemotherapy, as first-line treatment in patients with unresectable, or metastatic NSCLC","identify whether the question has relevance with AdvanTIG-205 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT05014815
AdvanTIG-206,string,ClinicalTrial,"AdvanTIG-206 is a  phase 2 open-label study investigating the efficacy and safety of tislelizumab(also known as: tevimbra,tisle, bgb-a317) and ociperlimab and BAT1706 combinations in patients with advanced hepatocellular carcinoma","identify whether the question has relevance with AdvanTIG-206 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,HCC,,,,,"Tislelizumab, Ociperlimab, BAT1706",Tislelizumab + Ociperlimab + BAT1706,,,NCT04948697
AdvanTIG-301,string,ClinicalTrial,"AdvanTIG-301 is a  phase 3 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab in locally advanced, unresectable non-small cell lung cancer","identify whether the question has relevance with AdvanTIG-301 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04866017
AdvanTIG-302,string,ClinicalTrial,"AdvanTIG-302 is a  phase 2 trial of tislelizumab(also known as: tevimbra,tisle, bgb-a317) in combination with ociperlimab in untreated non-small cell lung cancer","identify whether the question has relevance with AdvanTIG-302 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,NSCLC,,,,,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,,NCT04746924
CHECKMATE-648,string,ClinicalTrial,"CHECKMATE-648 is a ivolumab plus chemotherapy versus placebo plus chemotherapy vs nivolumab(also known as: opdivo,nivo) plus ipilimumab(also known as: yervoy,ipi) in previously untreated advanced ESCC","identify whether the question has relevance with CHECKMATE-648 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,ESCC,,,,,"Nivolumab, Chemotherapy, Placebo, Ipilimumab",Nivolumab + Chemotherapy,Placebo + Chemotherapy,Nivolumab + Ipilimumab,NCT03143153
CHECKMATE-649,string,ClinicalTrial,"CHECKMATE-649 compares ivolumab plus chemotherapy versus placebo plus chemotherapy in previously untreated advanced gastric, gastroesophageal junction, and esophageal adenocarcinoma","identify whether the question has relevance with CHECKMATE-649 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"GC,GEJC, GEA",,,,,"Nivolumab, Chemotherapy, Placebo",Nivolumab + Chemotherapy,Placebo + Chemotherapy,,NCT02872116
KEYNOTE-859,string,ClinicalTrial,KEYNOTE-859 compares pembrolizumab plus chemotherapy versus placebo plus chemotherapy for locally advanced or metastatic HER2-negative advanced gastric or gastroesophageal adenocarcinoma ,"identify whether the question has relevance with KEYNOTE-859 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"GC,GEA",,,,,"Pembrolizumab, Chemotherapy, Placebo",Pembrolizumab + Chemotherapy,Placebo + Chemotherapy,,NCT03675737
KEYNOTE-590,string,ClinicalTrial,KEYNOTE-590 compares pembrolizumab plus chemotherapy versus placebo plus chemotherapy in advanced esophageal cancer  (included squamous and adenocarcinoma patients),"identify whether the question has relevance with KEYNOTE-590 or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"ESCC, GEA",,,,,"Pembrolizumab, Chemotherapy, Placebo",Pembrolizumab + Chemotherapy,Placebo + Chemotherapy,,NCT03189719
GLOW,string,ClinicalTrial,"GLOW compares zolbetuximab plus CAPOX in CLDN18.2 positive, HER2 negative, gastric or gastroesophageal junction adenocarcinoma","identify whether the question has relevance with GLOW or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"GC, GEJC",,,,,"Zolbetuximab, CAPOX",Zolbetuximab + CAPOX,,,NCT03504397
BRUIN,string,ClinicalTrial,"It is a pirtobrutinib study. BRUIN CLL-321: A phase 3 open-label, randomized study of pirtobrutinib versus investigator’s choice of idelalisib plus rituximab or bendamustine plus rituximab in BTK inhibitor pretreated chronic lymphocytic leukemia/small lymphocytic lymphoma","identify whether the question has relevance with BRUIN or not based on the given context,  please assign as yes or no.",,,1,,"CLL,SLL",,,,,"Pirtobrutinib, Idealisib, Rituximab, Bendamustine",Pirtobrutinib,Idealisib + Rituximab/Bendamustine,,NCT03740529
TRIANGLE,string,ClinicalTrial,TRIANGLE is a phase 3 clinical trial that compares Ibrutinib combined with immunochemotherapy with or without autologous stem-cell transplantation versus immunochemotherapy and autologous stem-cell transplantation in previously untreated patients with mantle cell lymphoma,"identify whether the question has relevance with TRIANGLE or not based on the given context,  please assign as yes or no.",1,1,1,,MCL,,,,,"Ibrutinib, Chemotherapy",Ibrutinib + Chemotherapy,,,NCT02858258
SELENE,string,ClinicalTrial,SELENE is a phase 3 trial that studies ibrutinib plus BR/R-CHOP in previously treated patients with follicular or marginal zone lymphoma,"identify whether the question has relevance with SELENE or not based on the given context,  please assign as yes or no.",1,1,1,,"FL, MZL",,,,,"Ibrutinib, Lenolidomide",Ibrutinib + Lenalidomide,,,NCT01974440
MAHOGANY,string,ClinicalTrial,A phase 3 trial of zanubrutinib plus anti-CD20 antibodies vs lenalidomide plus rituximab in patients with relapsed or refractory follicular or marginal zone lymphoma.,"identify whether the question has relevance with MAHOGANY or not based on the given context,  please assign as yes or no.",1,1,1,,"FL,MZL",,,,,"Zanubrutinib, Lenalidomide, Rituximab",Zanubrutinib + Rituximab,Lenalidomide + Rituximab,,NCT05100862
Sonrotoclax,string,Drug,"references to ""sonrotoclax"" or ""BGB-11417"" or ""11417"" will infer insights containing mention of Sonrotoclax. Sonrotoclax is a potent, orally active Bcl2 inhibitor","identify whether the question has relevance with Sonrotoclax or not based on the given context,  please assign as yes or no.",1,1,1,,CLL,"sonro, BGB-11417",,BCL2,,,,,,
mosunetuzumab,string,Drug,"Mosunetuzumab, sold under the brand name ""Lunsumio"", is a monoclonal antibody used for the treatment of follicular lymphoma. It bispecifically binds CD20 and CD3 to engage T-cells","identify whether the question has relevance with BRUIN or not based on the given context,  please assign as yes or no.",1,1,1,,FL,,Lunsumio,"CD20, CD3",,,,,,
tazemetostat,string,Drug,"Tazemetostat, sold under the brand name ""Tazverik"", is a medication used for the treatment of adults and adolescents aged 16 years and older with metastatic (when cancer cells spread to other parts of the body) or locally advanced (when cancer has grown outside the organ it started in, but has not yet spread to distant parts of the body) epithelioid sarcoma not eligible for complete resection (surgically removing all of a tissue, structure, or organ)","identify whether the question has relevance with BRUIN or not based on the given context,  please assign as yes or no.",1,1,1,,ES,,Tazverik,EZH2,,,,,,
Zanubrutinib,string,Drug,"Our product, Zanubrutinib (Brukinsa) also referred as ""zanu"" or ""bru"", is a oral BTKI inhibitor by mechanism of action. It is used to treat adults with following cancer indications :
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).
                2. Waldenström's macroglobulinemia (also acronimyzed as  WM).
                3. Mantle cell lymphoma (also acronimyzed as  MCL) who have received at least one prior treatment for their cancer.
                4. Marginal zone lymphoma (also acronimyzed as MZL) when the disease has come back or did not respond to treatment and who have received at least one certain type of treatment.
                5. Folicular Lymphoma (also acronimyzed as FL)
 
                Following are the market competitors to Zanubrutinib :
                1. Ibrutinib (Imbruvica) also referred as Ibr,  
                2. Acalabrutinib (calquence) also referred as ""acala"" or ""cal""
                3. Pirtobrutinib (Jaypirca) also referred as Pirto or Loxo or BRUIN or MCL 321.
 
                Following are the clinical trials pertient to zanubrutinib:
                1. Rosewood
                2. Sequoia
                3. Mahogany
                4. Magnolia
                5. Aspen
                6. Alpine","identify whether the question has relevance with zanubrutinib or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"MCL, CLL, WM","zanu, bru, BGB-3111",Brukinsa,C BTKi,,,,,,
Acalabrutinib,string,Drug,"Acalabrutinib (calquence) also referred as acala, is a oral BTKI inhibitor by mechanism of action. It is used to treat adults with following cancer indications :      
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).      
                2. Waldenström's macroglobulinemia (also acronimyzed as  WM).      
                3. Mantle cell lymphoma (also acronimyzed as  MCL) who have received at least one prior treatment for their cancer.      
                4. Marginal zone lymphoma (also acronimyzed as ) when the disease has come back or did not respond to treatment and who have received at least one certain type of treatment.      
                Following are the market competitors to ibrutinib :      
                1. zanubrutinib (Brukinsa) also referred as bru,        
                2. Ibrutinib (imbruvica) also referred as ibr and ibru    
                3. Pirtobrutinib (Jaypirca) also referred as Pirto or Loxo or BRUIN or MCL 321.

                Following are the clinical trials pertient to Acalabrutinib:
                1. ascend
                2. elevate-pr
                3. amplify
                4. elevate-tn
                5. echo
                6. majic
","identify whether the question has relevance with acalabrutinib or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"CLL, SLL, MCL","acala, cal",Calquence,C BTKi,,,,,,
Pirtobrutinib,string,Drug,"Pirtobrutinib (Jaypirca) also referred as LOXO, is a oral BTKI inhibitor by mechanism of action. It is used to treat adults with following cancer indications :      
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).      
                2. Waldenström's macroglobulinemia (also acronimyzed as  WM).      
                3. Mantle cell lymphoma (also acronimyzed as  MCL) who have received at least one prior treatment for their cancer.      
                4. Marginal zone lymphoma (also acronimyzed as ) when the disease has come back or did not respond to treatment and who have received at least one certain type of treatment.      
                Following are the market competitors to Pirtobrutinib :      
                1. Ibrutinib (Imbruvica) also referred as Ibr,        
                2. Acalabrutinib (calquence) also referred as acala and      
                3. Zanubrutinib (Brukinsa) also referred as zanu.

       ","identify whether the question has relevance with pirtobrutinib or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"CLL, MCL",pirto,Jaypirca,Non-C BTKi,,,,,,
Ibrutinib,string,Drug,"Ibrutinib (imbruvica) also referred as ibru, is a oral BTKI inhibitor by mechanism of action. It is used to treat adults with following cancer indications :      
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).      
                2. Waldenström's macroglobulinemia (also acronimyzed as  WM).      
                3. Mantle cell lymphoma (also acronimyzed as  MCL) who have received at least one prior treatment for their cancer.      
                4. Marginal zone lymphoma (also acronimyzed as ) when the disease has come back or did not respond to treatment and who have received at least one certain type of treatment.      
                Following are the market competitors to ibrutinib :      
                1. zanubrutinib (Brukinsa) also referred as bru,        
                2. Acalabrutinib (calquence) also referred as acala and      
                3. Pirtobrutinib (Jaypirca) also referred as Pirto or Loxo or BRUIN or MCL 321.

                Following are the clinical trials pertient to ibrutinib:
                1. alpine
                2. aspen
                3. elevate-pr
                4. flair
                5. captivate
                6. resonate
                7. sympatico
","identify whether the question has relevance with ibrutinib or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"CLL, MCL, WM","ibru, imb, ibr",Imbruvica,C BTKi,,,,,,
