name,drugs_involved,therapy1,therapy2,indication,treatment category,NCT #,short_description
RATIONALE-307,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,NSCLC,Solid Tumors,NCT03594747,A Phase 3 trial of tislelizumab in combination with chemotherapy versus chemotherapy as first-line treatment for patients with advanced squamous non-small cell lung cancer
RATIONALE-306,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,ESCC,Solid Tumors,NCT03783442,A global Phase 3 trial of tislelizumab in combination with chemotherapy in patients with previously untreated advanced or metastatic ESCC
RATIONALE-305,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,GC/GEJC,Solid Tumors,NCT03777657,"A Phase 3 trial of tislelizumab combined with 
chemotherapy versus placebo combined with chemotherapy as firstline treatment for patients with gastric cancer"
RATIONALE-304,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,Chemotherapy,NSCLC,Solid Tumors,NCT03663205,"A Phase 3 trial of tislelizumab in combination with 
chemotherapy versus chemotherapy as first-line treatment for 
patients with advanced non-squamous non-small cell lung cancer "
RATIONALE-303,"Tislelizumab, Docetaxel",Tislelizumab,Docetaxel,NSCLC ,Solid Tumors,NCT03358875,"A Phase 3 trial comparing tislelizumab with 
docetaxel in the second- or third line setting in patients with nonsmall cell lung cancer"
RATIONALE-302,"Tislelizumab, Chemotherapy",Tislelizumab,Chemotherapy,ESCC,Solid Tumors,NCT03430843,A Phase 3 trial comparing tislelizumab with chemotherapy as second-line treatment for patients with advanced ESCC
RATIONALE-301,"Tislelizumab, Sorafenib",Tislelizumab + sorafenib,,HCC,Solid Tumors,NCT03412773,A global Phase 3 trial comparing tislelizumab with sorafenib as first-line treatment for patients with unresectable hepatocellular carcinoma
RATIONALE-208,Tislelizumab,Tislelizumab,,"HCC, BCLC",Solid Tumors,NCT03419897,"A Phase 2 trial studying the efficacy and safety of tislelizumab in patients with in patients with advanced HCC with Child-Pugh A, Barcelona Clinic Liver Cancer stage B or C, and who had received one or more prior lines of systemic therapy"
RATIONALE-209,Tislelizumab,Tislelizumab,,microsatellite instability-high/mismatch repair deficient solid tumors,Solid Tumors,NCT03736889,"A Phase 2 trial evaluating the efficacy and safety of tislelizumab monotherapy in patients with previously-treated, locally advanced unresectable or metastatic microsatellite instability-high/mismatch repair-deficient 
solid tumors"
BGB-A317-314,Tislelizumab,Tislelizumab,,HL,Solid Tumors,NCT04486391,"A Phase 3 trial comparing tislelizumab to salvage 
chemotherapy in patients with relapsed or refractory classical 
Hodgkin Lymphoma"
AdvanTIG-105,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,Advanced Solid Tumors,Solid Tumors,NCT04047862,"A Phase 1/1b open-label study evaluating Tislelizumab in combination with ociperlimab in advanced, unresectable, or metastatic solid tumors"
AdvanTIG-202,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,MCC,Solid Tumors,NCT04693234,A Phase 2 trial of tislelizumab in combination with ociperlimab in metastatic cervical cancer
AdvanTIG-203,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,ESCC,Solid Tumors,NCT04732494,A Phase 2 trial of tislelizumab in combination with ociperlimab in advanced esophageal squamous cell carcinoma
AdvanTIG-204,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,NSCLC,Solid Tumors,NCT04952597,"A Phase 2 trial of tislelizumab in combination with 
ociperlimab with concurrent chemoradiotherapy in patients with untreated limited-stage small cell lung cancer"
AdvanTIG-205,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,NSCLC,Solid Tumors,NCT05014815,"A phase 2 study designed to investigate the efficacy and safety of ociperlimab in combination with tislelizumab and chemotherapy vs tislelizumab and chemotherapy, as first-line treatment in patients with unresectable, or metastatic NSCLC"
AdvanTIG-206,"Tislelizumab, Ociperlimab, BAT1706",Tislelizumab + Ociperlimab + BAT1706,,HCC,Solid Tumors,NCT04948697,A Phase 2 open-label study investigating the efficacy and safety of tislelizumab and ociperlimab and BAT1706 combinations in patients with advanced hepatocellular carcinoma
AdvanTIG-301,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,NSCLC,Solid Tumors,NCT04866017,"A Phase 3 trial of tislelizumab in combination with ociperlimab in locally advanced, unresectable non-small cell lung cancer"
AdvanTIG-302,"Tislelizumab, Ociperlimab",Tislelizumab + Ociperlimab,,NSCLC,Solid Tumors,NCT04746924,A Phase 2 trial of tislelizumab in combination with ociperlimab in untreated non-small cell lung cancer
CHECKMATE-648,"Nivolumab, Chemotherapy, Placebo",Nivolumab + Chemotherapy,Placebo + Chemotherapy,ESCC,Solid Tumors,NCT03143153,Nivolumab plus chemotherapy versus placebo plus chemotherapy vs nivolumab plus ipilimumab in previously untreated advanced ESCC
CHECKMATE-649,"Nivolumab, Chemotherapy, Placebo",Nivolumab + Chemotherapy,Placebo + Chemotherapy,GEA,Solid Tumors,NCT02872116,"Nivolumab plus chemotherapy versus placebo plus chemotherapy in previously untreated advanced gastric, gastroesophageal junction, and esophageal adenocarcinoma"
KEYNOTE-859,"Pembrolizumab, Chemotherapy, Placebo",Pembrolizumab + Chemotherapy,Placebo + Chemotherapy,GEA,Solid Tumors,NCT03675737,Pembrolizumab plus chemotherapy versus placebo plus chemotherapy for locally advanced or metastatic HER2-negative advanced gastric or gastroesophageal adenocarcinoma 
KEYNOTE-590,"Pembrolizumab, Chemotherapy, Placebo",Pembrolizumab + Chemotherapy,Placebo + Chemotherapy,ESCC,Solid Tumors,NCT03189719,Pembrolizumab plus chemotherapy versus placebo plus chemotherapy in advanced esophageal cancer  (included squamous and adenocarcinoma patients)
GLOW,"Zolebetuximab, CAPOX",Zolebetuximab + CAPOX,,GEJC,Solid Tumors,NCT03504397,"Zolebetuximab plus CAPOX in CLDN18.2 positive, HER2 negative, gastric or gastroesophageal junction adenocarcinoma"
